Results Table 1


Results Table 2


1,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(mN),(deg),(N-mm)
2,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(mN),(deg),(N-mm)
"","37.5190","27.1746","41563.01117","-9.6543","-49.2857"
"","37.5240","27.1785","41577.98386","-9.6543","-49.2985"
"","37.5290","27.1864","41596.13800","-9.6543","-49.3092"
"","37.5340","27.1998","41621.43326","-9.6543","-49.3268"
"","37.5390","27.2200","41660.59113","-9.6543","-49.3511"
"","37.5440","27.2477","41730.44205","-9.6543","-49.4506"
"","37.5490","27.2825","41843.26935","-9.6543","-49.6208"
"","37.5540","27.3236","41997.23434","-9.6543","-49.8496"
"","37.5590","27.3698","42178.95126","-9.6543","-50.0959"
"","37.5640","27.4197","42369.35043","-9.6543","-50.3197"
"","37.5690","27.4719","42550.49133","-9.6543","-50.5387"
"","37.5740","27.5254","42713.28354","-9.6543","-50.7332"
"","37.5790","27.5792","42861.45020","-9.6543","-50.8938"
"","37.5840","27.6327","43002.41470","-9.6543","-51.0274"
"","37.5890","27.6856","43146.48056","-9.6543","-51.1887"
"","37.5940","27.7378","43297.12296","-9.6543","-51.3662"
"","37.5990","27.7892","43451.84708","-9.6543","-51.5286"
"","37.6040","27.8399","43602.97394","-9.6543","-51.6856"
"","37.6090","27.8901","43746.16623","-9.6543","-51.8421"
"","37.6140","27.9398","43881.92368","-9.6543","-51.9856"
"","37.6190","27.9892","44011.21521","-9.6543","-52.1031"
"","37.6240","28.0383","44136.12366","-9.6543","-52.1964"
"","37.6290","28.0873","44260.74219","-9.6543","-52.2940"
"","37.6340","28.1363","44387.16125","-9.6543","-52.3878"
"","37.6380","28.1754","44488.28125","-9.6543","-52.4709"
"","37.6390","28.1852","44513.31329","-9.6543","-52.4932"
"","40.1360","32.6062","47139.18304","-9.6543","-44.7443"
"","40.1410","32.6062","47134.61685","-9.6543","-44.7324"
"","40.1460","32.6063","47132.53784","-9.6543","-44.7310"
"","40.1510","32.6069","47134.91821","-9.6543","-44.7281"
"","40.1560","32.6085","47142.55142","-9.6543","-44.7403"
"","40.1610","32.6125","47157.80640","-9.6543","-44.7683"
"","40.1660","32.6205","47180.92346","-9.6543","-44.8150"
"","40.1710","32.6339","47214.08844","-9.6543","-44.8638"
"","40.1760","32.6541","47261.78741","-9.6543","-44.9097"
"","40.1810","32.6817","47335.59799","-9.6543","-44.9818"
"","40.1860","32.7164","47446.88034","-9.6543","-45.0952"
"","40.1910","32.7574","47592.97180","-9.6543","-45.2305"
"","40.1960","32.8035","47759.84955","-9.6543","-45.3586"
"","40.2010","32.8532","47930.46570","-9.6543","-45.4859"
"","40.2060","32.9054","48089.68353","-9.6543","-45.6027"
"","40.2110","32.9587","48230.46875","-9.6543","-45.6988"
"","40.2160","33.0125","48358.91342","-9.6543","-45.7374"
"","40.2210","33.0660","48482.92542","-9.6543","-45.7574"
"","40.2260","33.1189","48613.38425","-9.6543","-45.8184"
"","40.2310","33.1711","48755.04303","-9.6543","-45.9072"
"","40.2360","33.2226","48903.68271","-9.6543","-46.0050"
"","40.2410","33.2734","49051.11313","-9.6543","-46.1117"
"","40.2460","33.3236","49191.13159","-9.6543","-46.2022"
