Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
"48.6120","0.0662","-10063.56812","-19.4598","75.8542"
"48.6170","0.0995","-9979.70295","-19.4598","75.4318"
"48.6220","0.1395","-9857.03087","-19.4598","74.9111"
"48.6270","0.1850","-9706.91299","-19.4598","74.3364"
"48.6320","0.2345","-9550.19283","-19.4598","73.7443"
"48.6370","0.2866","-9403.80478","-19.4598","73.1511"
"48.6420","0.3401","-9275.50220","-19.4598","72.5649"
"48.6470","0.3940","-9163.49411","-19.4598","71.9922"
"48.6520","0.4477","-9059.49497","-19.4598","71.4302"
"48.6570","0.5008","-8956.54392","-19.4598","70.8772"
"48.6620","0.5531","-8847.50366","-19.4598","70.3229"
"48.6670","0.6046","-8732.53441","-19.4598","69.7760"
"48.6720","0.6553","-8619.00806","-19.4598","69.2422"
"48.6770","0.7054","-8511.54613","-19.4598","68.7454"
"48.6820","0.7550","-8411.82423","-19.4598","68.2722"
"48.6870","0.8043","-8316.53690","-19.4598","67.8102"
"48.6920","0.8534","-8222.19467","-19.4598","67.3517"
"48.6970","0.9023","-8123.88992","-19.4598","66.9017"
"48.7020","0.9512","-8021.93928","-19.4598","66.4451"
"48.7070","1.0001","-7922.30177","-19.4598","65.9787"
"48.7080","1.0099","-7903.02753","-19.4598","65.8810"
"48.7090","1.0196","-7883.96692","-19.4598","65.7829"
"51.2120","5.4405","-775.98304","-19.4598","31.3761"
"51.2170","5.4405","-778.55319","-19.4598","31.3800"
"51.2220","5.4406","-778.84650","-19.4598","31.3760"
"51.2270","5.4411","-774.85543","-19.4598","31.3545"
"51.2320","5.4427","-765.66172","-19.4598","31.3288"
"51.2370","5.4466","-753.97742","-19.4598","31.2907"
"51.2420","5.4545","-742.36816","-19.4598","31.2360"
"51.2470","5.4679","-728.36339","-19.4598","31.1339"
"51.2520","5.4881","-705.31070","-19.4598","30.9662"
"51.2570","5.5157","-658.68598","-19.4598","30.7065"
"51.2620","5.5504","-578.66549","-19.4598","30.3456"
"51.2670","5.5915","-464.87609","-19.4598","29.8967"
"51.2720","5.6377","-327.84832","-19.4598","29.3977"
"51.2770","5.6875","-184.64795","-19.4598","28.8730"
"51.2820","5.7397","-52.25999","-19.4598","28.3450"
"51.2870","5.7931","64.32383","-19.4598","27.8488"
